   ------------------------------------------------------------------
  | Welcome to ROOT 6.22/08                        https://root.cern |
  | (c) 1995-2020, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Mar 10 2021, 14:20:04                 |
  | From tags/v6-22-08@v6-22-08                                      |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q'       |
   ------------------------------------------------------------------


Processing v3_mac.C...
300
totedep 11.8592 nhit= 44
# of display =1
# of event =21
totedep 8.18137 nhit= 33
# of display =2
# of event =39
totedep 2.03676 nhit= 10
# of display =3
# of event =83
totedep 6.29566 nhit= 32
# of display =4
# of event =142
totedep 0.687756 nhit= 11
# of display =5
# of event =171
totedep 2.61206 nhit= 15
# of display =6
# of event =176
totedep 2.82544 nhit= 15
# of display =7
# of event =185
totedep 3.14404 nhit= 14
# of display =8
# of event =258
totedep 11.6402 nhit= 69
# of display =9
# of event =263
totedep 5.51993 nhit= 30
# of display =10
# of event =282
totedep 6.77915 nhit= 36
# of display =11
# of event =288
totedep 3.2908 nhit= 11
# of display =12
# of event =335
totedep 6.40733 nhit= 32
# of display =13
# of event =371
totedep 7.51287 nhit= 24
# of display =14
# of event =390
totedep 3.85264 nhit= 13
# of display =15
# of event =406
totedep 2.48437 nhit= 17
# of display =16
# of event =432
totedep 2.6756 nhit= 12
# of display =17
# of event =435
totedep 1.88539 nhit= 11
# of display =18
# of event =489
totedep 3.51317 nhit= 12
# of display =19
# of event =539
totedep 2.59611 nhit= 13
# of display =20
# of event =705
totedep 5.11343 nhit= 14
# of display =21
# of event =723
totedep 1.96248 nhit= 12
# of display =22
# of event =768
totedep 3.33472 nhit= 17
# of display =23
# of event =830
totedep 2.82564 nhit= 14
# of display =24
# of event =879
totedep 2.45372 nhit= 14
# of display =25
# of event =897
totedep 8.02155 nhit= 33
# of display =26
# of event =931
totedep 6.77887 nhit= 25
# of display =27
# of event =1014
totedep 1.77843 nhit= 10
# of display =28
# of event =1043
totedep 4.56289 nhit= 19
# of display =29
# of event =1051
totedep 4.91427 nhit= 32
# of display =30
# of event =1063
totedep 6.60136 nhit= 27
# of display =31
# of event =1098
totedep 4.67822 nhit= 24
# of display =32
# of event =1107
totedep 6.77932 nhit= 30
# of display =33
# of event =1120
totedep 2.45122 nhit= 11
# of display =34
# of event =1135
totedep 1.52024 nhit= 10
# of display =35
# of event =1139
totedep 12.5685 nhit= 38
# of display =36
# of event =1141
totedep 5.98959 nhit= 24
# of display =37
# of event =1289
totedep 1.1747 nhit= 10
# of display =38
# of event =1304
totedep 2.97394 nhit= 17
# of display =39
# of event =1348
totedep 7.26506 nhit= 29
# of display =40
# of event =1370
totedep 4.0613 nhit= 17
# of display =41
# of event =1499
totedep 16.07 nhit= 60
# of display =42
# of event =1514
totedep 4.74397 nhit= 23
# of display =43
# of event =1554
totedep 3.73261 nhit= 16
# of display =44
# of event =1613
totedep 20.0171 nhit= 66
# of display =45
# of event =1620
totedep 1.92047 nhit= 14
# of display =46
# of event =1649
totedep 1.42779 nhit= 11
# of display =47
# of event =1656
totedep 7.58136 nhit= 24
# of display =48
# of event =1732
totedep 5.06112 nhit= 23
# of display =49
# of event =1782
totedep 3.26766 nhit= 16
# of display =50
# of event =1809
totedep 3.21495 nhit= 14
# of display =51
# of event =1836
totedep 9.35549 nhit= 45
# of display =52
# of event =1874
totedep 10.6292 nhit= 39
# of display =53
# of event =1880
totedep 9.66171 nhit= 30
# of display =54
# of event =1979
totedep 15.6244 nhit= 54
# of display =55
# of event =1996
totedep 5.71123 nhit= 23
# of display =56
# of event =2011
totedep 5.24093 nhit= 19
# of display =57
# of event =2013
totedep 2.61002 nhit= 10
# of display =58
# of event =2061
totedep 16.0211 nhit= 71
# of display =59
# of event =2076
totedep 7.2324 nhit= 36
# of display =60
# of event =2107
totedep 1.47041 nhit= 10
# of display =61
# of event =2130
totedep 3.95483 nhit= 24
# of display =62
# of event =2145
totedep 3.30972 nhit= 12
# of display =63
# of event =2151
totedep 1.67744 nhit= 10
# of display =64
# of event =2176
totedep 1.91967 nhit= 11
# of display =65
# of event =2199
totedep 2.22892 nhit= 11
# of display =66
# of event =2225
totedep 2.3183 nhit= 14
# of display =67
# of event =2251
totedep 15.1948 nhit= 54
# of display =68
# of event =2276
totedep 5.11833 nhit= 17
# of display =69
# of event =2277
totedep 4.22163 nhit= 12
# of display =70
# of event =2350
totedep 3.02037 nhit= 22
# of display =71
# of event =2357
totedep 3.89843 nhit= 21
# of display =72
# of event =2376
totedep 3.27546 nhit= 20
# of display =73
# of event =2448
totedep 2.12201 nhit= 12
# of display =74
# of event =2481
totedep 7.36056 nhit= 23
# of display =75
# of event =2525
totedep 4.85236 nhit= 24
# of display =76
# of event =2648
totedep 8.46678 nhit= 25
# of display =77
# of event =2704
totedep 3.05163 nhit= 16
# of display =78
# of event =2705
totedep 5.36643 nhit= 23
# of display =79
# of event =2809
totedep 3.75465 nhit= 13
# of display =80
# of event =2833
totedep 7.16229 nhit= 19
# of display =81
# of event =2840
totedep 3.47108 nhit= 12
# of display =82
# of event =2885
